Cap Fiscal Year,Cap Type,Employer (Petitioner) Name,Industry 1,Industry 2,Occupation 1,Occupation 2,Petitioner City,Petitioner State,Petitioner ZIP Code,Tax ID,Initial Approval (Workers),Continuing Approval (Workers),Total Approval,Initial Denial (Workers),Continuing Denial (Workers),Total Denial,Worksite State,Consular Processed,Hourly Wage
2020,Exempt,,81,Other Services,39,Personal Care and Service Occupations,Grand Forks,North Dakota,58201,8514,0,1,1,0,0,0,North Dakota,No,$10.00 - $11.99
2020,2nd Half,#1 ALL SEASONS LAWN SERVICE LLC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Sulphur,Louisiana,70664,1213,19,0,19,0,0,0,Louisiana,Yes,$14.00 - $15.99
2020,2nd Half,12 STONES LANDSCAPING LLC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Atascadero,California,93422,9108,12,0,12,0,0,0,Florida,Yes,$12.00 - $13.99
2020,2nd Half,3 B S FORESTRY INC,11,"Agriculture, Forestry, Fishing and Hunting",45,"Farming, Fishing, and Forestry Occupations",Medford,Oregon,97501,6829,60,0,60,0,0,0,Oregon,Yes,$12.00 - $13.99
2020,2nd Half,3 SEASONS LANDSCAPE CONTRACTING SE,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Upper Darby,Pennsylvania,19082,966,13,0,13,0,0,0,Pennsylvania,Yes,$14.00 - $15.99
2020,2nd Half,311 GIFFORD ST OPCO LLC DBA COONAM,72,Accommodation and Food Services,35,Food Preparation and Serving Related Occupations,Amesbury,Massachusetts,1913,7559,1,0,1,0,0,0,Massachusetts,Yes,$12.00 - $13.99
2020,2nd Half,311 GIFFORD ST OPCO LLC DBA COONAM,72,Accommodation and Food Services,35,Food Preparation and Serving Related Occupations,Amesbury,Massachusetts,1913,7559,6,0,6,0,0,0,Massachusetts,Yes,$14.00 - $15.99
2020,2nd Half,311 GIFFORD ST OPCO LLC DBA COONAM,72,Accommodation and Food Services,35,Food Preparation and Serving Related Occupations,Amesbury,Massachusetts,1913,7559,6,0,6,0,0,0,Massachusetts,Yes,$16.00 - $17.99
2020,2nd Half,4 SEASONS GUNITE LLC,23,Construction,47,Construction and Extraction Occupations,Houston,Texas,77066,2293,10,0,10,0,0,0,Texas,Yes,$16.00 - $17.99
2020,1st Half,433 MOUNTAIN RD OPERATING CO LLC D,72,Accommodation and Food Services,37,Building and Grounds Cleaning and Maintenance Occupations,Amesbury,Massachusetts,1913,3133,4,0,4,0,0,0,Vermont,Yes,$12.00 - $13.99
2020,Exempt,512 MAIN ST INC DBA CHATHAM WAYSID,72,Accommodation and Food Services,35,Food Preparation and Serving Related Occupations,Chatham,Massachusetts,2633,2940,0,3,3,0,0,0,Massachusetts,No,$14.00 - $15.99
2020,Exempt,512 MAIN ST INC DBA CHATHAM WAYSID,72,Accommodation and Food Services,35,Food Preparation and Serving Related Occupations,Chatham,Massachusetts,2633,2940,0,1,1,0,0,0,Massachusetts,No,$16.00 - $17.99
2020,Exempt,512 MAIN ST INC DBA CHATHAM WAYSID,72,Accommodation and Food Services,37,Building and Grounds Cleaning and Maintenance Occupations,Chatham,Massachusetts,2633,2940,0,4,4,0,0,0,Massachusetts,No,$14.00 - $15.99
2020,2nd Half,512 MAIN ST INC DBA CHATHAM WAYSID,72,Accommodation and Food Services,35,Food Preparation and Serving Related Occupations,Chatham,Massachusetts,2633,2940,5,0,5,0,0,0,Massachusetts,Yes,$16.00 - $17.99
2020,1st Half,560 BABYLON LLC,72,Accommodation and Food Services,35,Food Preparation and Serving Related Occupations,Miami Beach,Florida,33139,5386,4,0,4,0,0,0,Florida,Yes,$12.00 - $13.99
2020,2nd Half,5G MASONRY LLC,23,Construction,47,Construction and Extraction Occupations,Ozark,Missouri,65721,6906,28,0,28,0,0,0,Iowa,Yes,$16.00 - $17.99
2020,2nd Half,5G MASONRY LLC,23,Construction,47,Construction and Extraction Occupations,Ozark,Missouri,65721,6906,29,0,29,0,0,0,Missouri,Yes,$18.00 - $19.99
2020,Exempt,5M CONSTRUCTION CORP,N/A,,N/A,,Barrigada,Guam,96921,4107,23,0,23,0,0,0,N/A,Yes,N/A
2020,Exempt,5M CONSTRUCTION CORP,N/A,,N/A,,Dededo,Guam,96929,4107,0,6,6,0,0,0,N/A,No,N/A
2020,Exempt,5M CONSTRUCTION CORP,N/A,,N/A,,Dededo,Guam,96929,4107,1,0,1,0,0,0,N/A,Yes,N/A
2020,Exempt,5M CONSTRUCTION CORP,N/A,,N/A,,Barrigada,Guam,96921,4107,0,61,61,0,0,0,N/A,No,N/A
2020,2nd Half,76 MALL INN INC,72,Accommodation and Food Services,43,Office and Administrative Support Occupations,Branson,Missouri,65616,2109,1,0,1,0,0,0,Missouri,Yes,$10.00 - $11.99
2020,2nd Half,82 RENTS INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Lovingston,Virginia,22949,374,7,0,7,0,0,0,Pennsylvania,Yes,$14.00 - $15.99
2020,Exempt,85 TAUNTON INC DBA CHAPINS BAYSIDE,72,Accommodation and Food Services,35,Food Preparation and Serving Related Occupations,Harwich Port,Massachusetts,2646,7558,3,0,3,0,0,0,Massachusetts,No,$14.00 - $15.99
2020,Exempt,91 HILL LLC D/B/A SOUTHAMPTON INN,72,Accommodation and Food Services,35,Food Preparation and Serving Related Occupations,Southampton,New York,11968,717,0,2,2,0,0,0,New York,No,$12.00 - $13.99
2020,1st Half,A & I INTERIORS LLC FL,23,Construction,51,Production Occupations,Lovingston,Virginia,22949,8031,23,0,23,0,0,0,Florida,Yes,$14.00 - $15.99
2020,2nd Half,A & M LANDSCAPE MANAGEMENT LLC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Marlton,New Jersey,8053,2903,10,0,10,0,0,0,New Jersey,Yes,$14.00 - $15.99
2020,1st Half,A & S LANDSCAPING INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Canonsburg,Pennsylvania,15317,61,4,0,4,0,0,0,Pennsylvania,Yes,$12.00 - $13.99
